[Mar 18 23:15:29] Asterisk 22.2.0 built by root @ 8cc7c63359fe on a x86_64 running Linux on 2025-03-15 18:50:23 UTC
[Mar 18 23:15:29] NOTICE[1] loader.c: 309 modules will be loaded.
[Mar 18 23:15:29] NOTICE[1] cdr.c: CDR simple logging enabled.
[Mar 18 23:15:29] NOTICE[1] indications.c: Default country for indication tones: us
[Mar 18 23:15:29] NOTICE[1] indications.c: Setting default indication country to 'us'
[Mar 18 23:15:29] NOTICE[1] res_smdi.c: No SMDI interfaces are available to listen on, not starting SMDI listener.
[Mar 18 23:15:29] WARNING[1] res_phoneprov.c: Unable to find a valid server address or name.
[Mar 18 23:15:30] ERROR[1] ari/config.c: No configured users for ARI
[Mar 18 23:15:30] NOTICE[1] confbridge/conf_config_parser.c: Adding default_menu menu to app_confbridge
[Mar 18 23:15:30] NOTICE[1] cel_custom.c: No mappings found in cel_custom.conf. Not logging CEL to custom CSVs.
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: nat at line 995 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: callerid at line 996 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: domain at line 997 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: type at line 1001 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: username at line 1002 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: secret at line 1003 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: host at line 1004 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: context at line 1005 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: disallow at line 1006 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: allow at line 1007 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: qualify at line 1008 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: nat at line 1009 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: callerid at line 1010 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: domain at line 1011 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: type at line 895 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: username at line 896 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: secret at line 897 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: host at line 898 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: context at line 899 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: disallow at line 900 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: allow at line 901 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: qualify at line 902 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: nat at line 903 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: callerid at line 904 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: domain at line 905 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: type at line 909 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: username at line 910 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: secret at line 911 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: host at line 912 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: context at line 913 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: disallow at line 914 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: allow at line 915 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: qualify at line 916 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: nat at line 917 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: callerid at line 918 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: domain at line 919 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: type at line 923 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: username at line 924 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: secret at line 925 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: host at line 926 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: context at line 927 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: disallow at line 928 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: allow at line 929 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: qualify at line 930 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: nat at line 931 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: callerid at line 932 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: domain at line 933 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: type at line 937 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: username at line 938 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: secret at line 939 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: host at line 940 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: context at line 941 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: disallow at line 942 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: allow at line 943 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: qualify at line 944 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: nat at line 945 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: callerid at line 946 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: domain at line 947 of extensions.conf -- IGNORING!!!
[Mar 18 23:37:01] WARNING[120] pbx_config.c: ==!!== Unknown directive: type at line 959 of extensions.conf -- IGNORING!!!
